text,starred,paraphrase,impossible/unlikely/terrible collocation,(original) wordcount
I asked what who saw?,TRUE,He queried what who threw?,I whistled what who drank?,5
Who was for Mandy to poison awful?,TRUE,Where was for Mandy to go disastrous?,Where was for Mandy to teleport accidental?,7
I am eating a mango and Gillian has too.,TRUE,I am pounding a nail and Gillian has too.,I am eating a skyscraper and Gillian has too.,9
Jason intended for to learn magic.,TRUE,Jason tried for to study Italian.,Jason intended for to burn water.,6
Vampires have many become vegetarian.,TRUE,Werewolves have many become tame.,Anvils have many become transparent.,5
Zeus stinks to be omnipotent.,TRUE,Robert stinks to be funny.,Ben stinks to be infinite.,5
I saw him ever.,TRUE,I missed her ever.,I related him ever.,4
Did Mandy poison who?,TRUE,Did Mandy feed who?,Did Alex recite who?,4
That monkey is ate the banana.,TRUE,That dog is ate the pear.,That carrot is ate the stone.,6
Genie intoned the mirror.,TRUE,Genie recited the table.,Genie intoned the footstool.,4
Mandy tried her to leave.,TRUE,Mandy attempted her to flee.,Mandy tried her to evaporate.,5
Which king did you ask which city invaded?,TRUE,Which player did you ask which game played?,Which king did you ask which table exploded?,8
Enkidu do freed animals.,TRUE,Enkidu do released birds.,Enkidu do freed stones.,4
Readings Shakespeare satisfied me.,TRUE,Readings Tolkein confused me.,Readings Shakespeare blinded me.,4
Has that we have arrived back at our starting point proved that the world is round?,TRUE,Has that they have landed back at their launching point demonstrated that the wind is weak?,Has that we have arrived back at our starting point proved that the apple is metal?,16
John is having fought Humbaba.,TRUE,Rosanne is having killed Peter.,Gary is having colonized Alfred.,5
Dragons have most been neutered.,TRUE,Cats have most been collared.,Clouds have most been plastered.,5
There arrived by Mandy.,TRUE,There landed by Morgan.,There hatched by Alice,4
You said she liked yourself.,TRUE,You claimed she hated yourself.,You said she digested yourself.,5
Bill reading Shakespeare and Maureen singing Schubert satisfy me.,TRUE,Bill playing Bach and May reciting Shelly irritate me.,Bill reading Picasso and Maureen humming Pythagoras satisfy me.,9
Jason knew those Mandy had cast the spell.,TRUE,Jason understood those Madeline had sparked the reaction.,Jason found those Madeline had destroyed the planets.,8
We all thought he to be unhappy.,TRUE,We all considered she to be excited.,We all thought he to be concrete.,7
I arranged for to see her.,TRUE,I organized for to visit him.,I planned for to accidentally miss.,6
John doesn’t ate the honey.,TRUE,William doesn’t jumped the fence,Albert doesn’t noticed the vuvuzela.,5
Anson believed to be happy.,TRUE,Amber believed to be sad.,Donny believed to be unconscious.,5
Peter is those pigs.,TRUE,Jackson is those dolphins.,Wendy is those swarms.,4
What she thought that was the poison was neutralised.,TRUE,What she imagined that was the door was opened.,What she sang that was the silence was stuffy.,9
Constant reading Shakespeare satisfied me.,TRUE,Constant watching television nauseated me.,Constant training jellyfish deflated me.,5
What Jason asked whether was the potion was ready.,TRUE,What Jason inquired whether was the helicopter was landed.,What Jason asked whether was the cake was saddled.,9
Peter is some happy pigs which can fly.,TRUE,Neil is some wretched cats which can sing.,Peter is some sleepy brushes which can translate.,8
"Frantically at, Anson danced extremely Trade.",TRUE,"Excitedly at, Andy waved very Zoo.","Persistently at, Anson fidgeted extremely Trade.",6
We all thought him was unhappy.,TRUE,They all believed her was sad.,We all thought him was purple.,6
Ron asked that the potion was ready.,TRUE,Ron asked that the cake was finished.,Ron asked that the window was stone.,7
I inquired could we leave early.,TRUE,I asked could we start sooner.,I inquired could we levitate heavily.,6
Who was that Plato loved obvious?,TRUE,Who was that Annie hated secret?,Who was that Plato ate impossible?,6
I said that that Jason was jealous annoyed Mandy.,TRUE,I said that that Jason was unhappy upset Madea.,I said that that Jason was evaporated calmed Mandy.,9
Mandy seems that has poisoned Jason.,TRUE,Mike seems that has fed Toby.,Mandy seems that has constructed Jason.,6
We believed to be omnipotent.,TRUE,We thought to be qualified.,We believed to be extinguished.,5
Benjamin thought he would give the cloak to Lee and the cloak to Lee he gave.,TRUE,Ben predicted he would send the envelope to Lee and the envelope to Lee he sent.,Benjamin thought he would give the cloud to Lee and the cloud to Lee he gave.,16
House the old collapsed.,TRUE,Team the new won.,Rocket the old dug.,4
Mandy exclaimed if the potion was ready.,TRUE,Amelia exclaimed if the toast was ready.,Mandy exclaimed if the brick was stewed.,7
Which city do you believe the claim that Philip would invade?,TRUE,Which chest do you believe the claim that Henry would bury?,Which atom do you believe the claim that Philip would invent?,11
By is eaten monkey banana that the being.,TRUE,By is destroyed armadillo watermelon that the being.,By is copied crocodile stick that the being.,8
Bill reading of Shakespeare satisfied me.,TRUE,Tom reciting of Gilgamesh disappointed me.,Bill snorting of Pythagoras delighted me.,6
John failed often Herbology.,TRUE,Edward failed often Geography.,Enid passed often astrology.,4
Benjamin said he would give the cloak to Lee and give the cloak he did to Lee.,TRUE,Wallace said he would convey the message to Alice and convey the message he did to Alice.,Benjamin said he would give the cloud to Lee and give the cloud he did to Lee.,17
Enkidu quickly may free the animals.,TRUE,Ed slowly may release the fish.,Enkidu slowly may teleport the animals.,6
The monkey is ate the banana.,TRUE,The rabbit is drank the water.,The yak is hugged the frog.,6
It is true that I might be doing something other than going to the party.,FALSE,It is true that I might be doing something other than fishing for salmon.,It is true that I might be doing something other than swimming to the planet.,15
We need some technician to help us.,FALSE,We need some doctor to save us.,We need some architect to massage us.,7
The book that Anson lent to Jenny.,FALSE,The pen that Albert gave to Jane.,The disease that Anson recommended to Jenny.,7
"When the executioner arrived, Hephaestus was asleep.",FALSE,"When the teacher arrived, Henry was asleep.","When the book melted, Harry was upright.",7
That the answer is obvious upset Hermes.,FALSE,That the problem is easy annoyed Dave.,That the sonnet is invisible frustrated Clarke.,7
Moya’s football team loved her.,FALSE,Millie’s bowling team hated her.,Mandy’s hopping team transplanted her.,5
Mandy poisoned more children than Jason did.,FALSE,Mike fed more fish than Jones did.,Mike fed more paintings than Albert did.,7
What have you eaten?,FALSE,What have you drunk?,What have you emulsified?,4
Jenny’s scraggy extremely demonic cat.,FALSE,Jenny’s glossy extremely forgetful bird.,Jenny’s rabid extremely tall snake.,5
Benjamin gave Lee the cloak.,FALSE,Benjamin passed Lee the hat.,Benjamin threw Lee the planet.,5
Bill reading Shakespeare satisfied me.,FALSE,Greg singing Mozart depressed me.,Louis humming sign language oppressed me.,5
We believed Zeus to be omnipotent.,FALSE,We considered Greg to be kind.,We believed Gary to be non-existent.,6
That bottle of water might have.,FALSE,That basket of rice might have.,That basket of oxygen might have.,5
Lucy’s disdain for Edmund.,FALSE,Lucy’s affection for David,Lucy’s pique for David,4
There is a description of Aristotle in the book.,FALSE,There is a picture of Albert in the leaflet.,There is a cartoon of Albert in the song.,9
Julie and Jenny did.,FALSE,Julie and Jenny could.,Julie and Jenny may.,4
I have sent letters to Environmental Heath.,FALSE,I have posted cards to Human Resources.,I have sold floss to Customs and Immigration,7
Why did you kill Pegasus?,FALSE,Why did you save Archimedes?,Why did you drown the fish?,5
Jason thought of defending the dragon.,FALSE,Jonas thought of attacking the dog.,Jonas thought of drinking the statue.,6
The consul’s gift of the gladiator to himself.,FALSE,The overseer’s gift of the slave to himself.,The actress’s gift of the actor to himself,8
Dracula thought that he was the Prince of Darkness.,FALSE,Oscar thought that he was the King of the Sea.,Oscar thought he was the President of the wardrobe.,9
"At Trade, Anson danced extremely frantically.",FALSE,"At prom, Neil jumped extremely excitedly.","At camp, Andrew sobbed extremely enthusiastically.",6
People are in the garden.,FALSE,Children are in the pool.,Police are in the paradox.,5
Where did Perseus see the Gorgon?,FALSE,Where did Peter find the officer?,Where did Peter see the whisper?,6
Anson became the Mayor.,FALSE,Andrew became the king.,Andrew became the finch.,4
The time when Alison and David soaked their feet was after dinner.,FALSE,The time when Alison and David washed their hands was after dinner.,The place where Alison and David soaked their feet was after dinner.,12
Where has he put the cake?,FALSE,Where has he left the book?,Where has he hidden the mountain?,6
They depend on Mary.,FALSE,They rely on Marty.,They calculate on Marty.,4
What she thought was that the poison was neutralised.,FALSE,What she imagined was that the door was opened.,What she thought was that the idea was edible.,9
Benjamin caused the book to go to Ross.,FALSE,Linda caused the ball to go to Susan.,Linda caused the shame to go to Fido.,8
